solver,n,seed,best,redK4,blueK5,solved,fake,time,iters
COMPASS,24,0,0,0,0,1,0,2.231,15213
COMPASS,24,1,0,0,0,1,0,6.409,43483
COMPASS,24,3,0,0,0,1,0,7.016,47472
COMPASS,24,2,2,7,1,0,0,8.0,53479
COMPASS,24,4,1,2,0,0,0,8.0,53430
COMPASS,24,8,0,0,0,1,0,0.503,3332
COMPASS,24,5,1,9,12,0,0,8.0,52438
COMPASS,24,6,1,6,3,0,0,8.0,52729
COMPASS,24,7,1,9,4,0,0,8.0,52608
COMPASS,24,9,1,4,9,0,0,8.0,54746
COMPASS,24,10,1,0,1,0,0,8.0,59602
COMPASS,24,11,1,3,1,0,0,8.0,60273
COMPASS,24,13,0,0,0,1,0,2.06,13898
COMPASS,24,16,0,0,0,1,0,2.163,13869
COMPASS,24,12,1,6,12,0,0,8.0,50643
COMPASS,24,14,1,66,28,0,0,8.0,52005
COMPASS,24,15,1,3,9,0,0,8.0,52792
COMPASS,24,17,2,22,7,0,0,8.0,50231
COMPASS,24,18,0,0,0,1,0,5.297,33657
COMPASS,24,19,1,1,2,0,0,8.0,49253
COMPASS,24,20,1,21,5,0,0,8.0,50050
COMPASS,24,21,1,0,9,0,0,8.0,48973
COMPASS,24,22,1,1,5,0,0,8.0,49430
COMPASS,24,26,0,0,0,1,0,1.551,9879
COMPASS,24,23,1,4,5,0,0,8.0,48375
COMPASS,24,24,1,12,18,0,0,8.0,49677
COMPASS,24,25,1,8,10,0,0,8.0,56208
COMPASS,24,27,1,1,7,0,0,8.0,58523
COMPASS,24,30,0,0,0,1,0,0.521,3235
COMPASS,24,31,0,0,0,1,0,6.828,43776
COMPASS,24,33,0,0,0,1,0,0.194,1019
COMPASS,24,28,1,13,26,0,0,8.0,50067
COMPASS,24,29,1,7,5,0,0,8.0,50366
COMPASS,24,32,1,3,6,0,0,8.0,50473
COMPASS,24,35,0,0,0,1,0,5.711,35559
COMPASS,24,34,0,0,0,1,0,6.737,41935
COMPASS,24,36,1,1,5,0,0,8.0,49053
COMPASS,24,37,0,0,0,1,0,7.717,47933
COMPASS,24,38,0,0,0,1,0,5.84,35790
COMPASS,24,39,1,4,2,0,0,8.0,48938
COMPASS,24,40,1,4,2,0,0,8.0,49228
COMPASS,24,41,1,2,11,0,0,8.0,49902
COMPASS,24,42,1,2,5,0,0,8.0,54674
COMPASS,24,43,1,12,2,0,0,8.0,57966
COMPASS,24,44,1,2,0,0,0,8.0,49602
COMPASS,24,45,1,2,2,0,0,8.0,49547
COMPASS,24,46,1,4,1,0,0,8.0,50689
COMPASS,24,47,1,7,1,0,0,8.001,49668
COMPASS,24,48,0,0,0,1,0,6.478,39955
COMPASS,24,49,1,3,2,0,0,8.0,49625
COMPASS,24,50,1,4,8,0,0,8.0,49664
COMPASS,24,51,1,3,11,0,0,8.0,49159
COMPASS,24,53,0,0,0,1,0,3.75,21209
COMPASS,24,52,1,3,9,0,0,8.0,46500
COMPASS,24,54,1,1,7,0,0,8.0,46939
COMPASS,24,55,1,6,5,0,0,8.0,46602
COMPASS,24,56,1,4,16,0,0,8.0,48783
COMPASS,24,57,1,22,11,0,0,8.0,51522
COMPASS,24,58,1,7,12,0,0,8.0,54117
COMPASS,24,59,1,0,10,0,0,8.0,55290
COMPASS,24,60,1,5,7,0,0,8.0,50194
COMPASS,24,61,1,2,10,0,0,8.0,51289
COMPASS,24,62,2,9,4,0,0,8.0,51233
COMPASS,24,63,1,7,6,0,0,8.0,49525
COMPASS,24,67,0,0,0,1,0,3.734,21944
COMPASS,24,64,2,6,2,0,0,8.0,47363
COMPASS,24,65,1,6,1,0,0,8.0,47031
COMPASS,24,66,1,3,1,0,0,8.0,48512
COMPASS,24,68,1,5,12,0,0,8.0,42135
COMPASS,24,70,0,0,0,1,0,6.176,32722
COMPASS,24,73,0,0,0,1,0,1.468,9229
COMPASS,24,69,1,4,7,0,0,8.0,44201
COMPASS,24,71,1,2,0,0,0,8.0,43150
COMPASS,24,72,1,2,0,0,0,8.0,55251
COMPASS,24,74,1,8,0,0,0,8.0,61245
COMPASS,24,75,1,117,11,0,0,8.0,62007
COMPASS,24,77,0,0,0,1,0,3.835,25491
COMPASS,24,76,1,7,6,0,0,8.0,52703
COMPASS,24,78,1,11,10,0,0,8.0,50981
COMPASS,24,79,1,0,8,0,0,8.0,51147
COMPASS,24,80,1,9,13,0,0,8.0,51122
COMPASS,24,83,0,0,0,1,0,4.28,29657
COMPASS,24,81,0,0,0,1,0,4.948,32986
COMPASS,24,82,1,4,12,0,0,8.0,54985
COMPASS,24,84,1,8,5,0,0,8.0,54505
COMPASS,24,85,1,2,2,0,0,8.0,53425
COMPASS,24,86,1,2,0,0,0,8.0,53204
COMPASS,24,87,1,3,3,0,0,8.0,53168
COMPASS,24,88,1,14,6,0,0,8.0,50310
COMPASS,24,89,1,2,0,0,0,8.0,53667
COMPASS,24,90,1,3,1,0,0,8.0,55182
COMPASS,24,91,1,1,10,0,0,8.0,55310
COMPASS,24,92,0,0,0,1,0,5.185,35682
COMPASS,24,96,0,0,0,1,0,1.301,9630
COMPASS,24,93,1,4,5,0,0,8.0,53069
COMPASS,24,95,1,6,1,0,0,8.0,56929
COMPASS,24,94,1,0,3,0,0,8.0,55550
COMPASS,24,97,1,7,0,0,0,8.0,61041
COMPASS,24,98,0,0,0,1,0,6.523,51219
COMPASS,24,99,1,10,14,0,0,8.0,62150
WalkSAT,24,0,3,8,24,0,0,8.0,45514
WalkSAT,24,1,3,15,15,0,0,8.0,42798
WalkSAT,24,2,2,21,13,0,0,8.0,43508
WalkSAT,24,3,4,17,18,0,0,8.0,44327
WalkSAT,24,4,2,8,15,0,0,8.0,42328
WalkSAT,24,5,2,20,16,0,0,8.0,43564
WalkSAT,24,6,3,16,9,0,0,8.0,42996
WalkSAT,24,7,1,10,22,0,0,8.0,43295
WalkSAT,24,8,1,1,13,0,0,8.0,44151
WalkSAT,24,9,3,7,16,0,0,8.0,43348
WalkSAT,24,10,3,7,12,0,0,8.0,43057
WalkSAT,24,11,1,19,10,0,0,8.0,42497
WalkSAT,24,12,2,12,8,0,0,8.0,41086
WalkSAT,24,13,3,8,6,0,0,8.0,41204
WalkSAT,24,14,3,9,9,0,0,8.0,42114
WalkSAT,24,15,1,12,12,0,0,8.0,40681
WalkSAT,24,16,3,4,7,0,0,8.0,39478
WalkSAT,24,17,3,6,22,0,0,8.0,39306
WalkSAT,24,18,3,15,6,0,0,8.0,40055
WalkSAT,24,19,3,8,10,0,0,8.0,39765
WalkSAT,24,20,3,2,1,0,0,8.0,40856
WalkSAT,24,22,3,15,7,0,0,8.0,40483
WalkSAT,24,21,3,12,2,0,0,8.0,40522
WalkSAT,24,23,3,7,17,0,0,8.0,40633
WalkSAT,24,24,2,12,5,0,0,8.0,41285
WalkSAT,24,25,3,8,13,0,0,8.0,41551
WalkSAT,24,26,3,7,14,0,0,8.0,40640
WalkSAT,24,27,1,13,16,0,0,8.0,41413
WalkSAT,24,28,2,27,3,0,0,8.0,40658
WalkSAT,24,29,1,13,13,0,0,8.0,40233
WalkSAT,24,30,3,7,10,0,0,8.0,40506
WalkSAT,24,31,1,11,15,0,0,8.0,40880
WalkSAT,24,32,2,5,5,0,0,8.0,42209
WalkSAT,24,33,4,7,11,0,0,8.0,41206
WalkSAT,24,34,2,6,10,0,0,8.001,41995
WalkSAT,24,35,3,4,13,0,0,8.001,42157
WalkSAT,24,37,2,11,13,0,0,8.0,40467
WalkSAT,24,38,1,14,9,0,0,8.0,41003
WalkSAT,24,36,1,6,11,0,0,8.0,41247
WalkSAT,24,39,3,3,2,0,0,8.0,40684
WalkSAT,24,40,2,13,11,0,0,8.0,41103
WalkSAT,24,42,1,15,4,0,0,8.0,40692
WalkSAT,24,43,1,6,23,0,0,8.0,40618
WalkSAT,24,41,3,12,9,0,0,8.0,41077
WalkSAT,24,44,1,8,7,0,0,8.0,40345
WalkSAT,24,45,3,14,4,0,0,8.0,40400
WalkSAT,24,46,3,2,16,0,0,8.0,40671
WalkSAT,24,47,2,7,3,0,0,8.0,40575
WalkSAT,24,51,0,0,0,1,0,6.171,31095
WalkSAT,24,49,1,11,6,0,0,8.0,41403
WalkSAT,24,48,2,10,13,0,0,8.001,40730
WalkSAT,24,50,2,8,2,0,0,8.0,41620
WalkSAT,24,52,2,9,14,0,0,8.0,41685
WalkSAT,24,53,2,7,10,0,0,8.0,42332
WalkSAT,24,54,2,8,7,0,0,8.001,40933
WalkSAT,24,55,3,8,6,0,0,8.0,41422
WalkSAT,24,56,2,5,13,0,0,8.0,40799
WalkSAT,24,57,4,12,11,0,0,8.0,40509
WalkSAT,24,58,3,10,16,0,0,8.0,40627
WalkSAT,24,59,3,10,5,0,0,8.0,40214
WalkSAT,24,60,3,11,9,0,0,8.0,41027
WalkSAT,24,61,4,11,3,0,0,8.0,42224
WalkSAT,24,62,2,7,7,0,0,8.0,43596
WalkSAT,24,63,4,13,16,0,0,8.0,42824
WalkSAT,24,65,3,16,9,0,0,8.0,41880
WalkSAT,24,64,1,11,4,0,0,8.001,41647
WalkSAT,24,66,1,11,18,0,0,8.0,42117
WalkSAT,24,67,2,14,15,0,0,8.0,40558
WalkSAT,24,69,3,6,8,0,0,8.0,40480
WalkSAT,24,68,2,5,8,0,0,8.0,41600
WalkSAT,24,70,2,12,21,0,0,8.001,40597
WalkSAT,24,71,4,20,11,0,0,8.001,40944
WalkSAT,24,73,2,18,16,0,0,8.0,41325
WalkSAT,24,72,4,19,12,0,0,8.0,40909
WalkSAT,24,74,4,8,6,0,0,8.0,41052
WalkSAT,24,75,3,17,13,0,0,8.0,40369
WalkSAT,24,76,3,8,16,0,0,8.0,41024
WalkSAT,24,77,2,10,19,0,0,8.0,40736
WalkSAT,24,78,1,10,14,0,0,8.0,41282
WalkSAT,24,79,4,12,15,0,0,8.0,41349
WalkSAT,24,80,3,26,11,0,0,8.0,40086
WalkSAT,24,81,3,8,29,0,0,8.001,40644
WalkSAT,24,82,3,21,17,0,0,8.0,40028
WalkSAT,24,83,3,9,15,0,0,8.0,39828
WalkSAT,24,84,3,15,22,0,0,8.0,41550
WalkSAT,24,85,2,12,13,0,0,8.0,42529
WalkSAT,24,86,3,15,3,0,0,8.0,42113
WalkSAT,24,87,2,15,11,0,0,8.0,42021
WalkSAT,24,88,2,7,14,0,0,8.0,41580
WalkSAT,24,89,2,3,9,0,0,8.0,42104
WalkSAT,24,90,3,15,6,0,0,8.0,41493
WalkSAT,24,91,2,16,8,0,0,8.0,41209
WalkSAT,24,92,3,13,4,0,0,8.0,41024
WalkSAT,24,93,3,15,10,0,0,8.0,41442
WalkSAT,24,94,3,7,8,0,0,8.0,41524
WalkSAT,24,95,3,3,17,0,0,8.0,41240
WalkSAT,24,96,2,7,13,0,0,8.0,43589
WalkSAT,24,97,3,13,13,0,0,8.0,42517
WalkSAT,24,98,2,16,4,0,0,8.0,41346
WalkSAT,24,99,1,11,8,0,0,8.0,42326
SA,24,0,2,5,2,0,0,8.0,375429
SA,24,1,1,4,1,0,0,8.0,381835
SA,24,2,1,2,2,0,0,8.0,379595
SA,24,3,2,3,1,0,0,8.0,378544
SA,24,4,1,4,0,0,0,8.0,384474
SA,24,6,2,4,0,0,0,8.0,379404
SA,24,5,3,4,2,0,0,8.0,375169
SA,24,7,2,3,2,0,0,8.0,378979
SA,24,10,0,0,0,1,0,1.888,88337
SA,24,8,1,8,1,0,0,8.0,374237
SA,24,9,1,22,10,0,0,8.0,368212
SA,24,11,1,7,2,0,0,8.0,373480
SA,24,12,1,2,0,0,0,8.0,382870
SA,24,13,2,16,2,0,0,8.0,430710
SA,24,14,2,30,5,0,0,8.0,428443
SA,24,15,3,21,7,0,0,8.0,429441
SA,24,16,0,0,0,1,0,5.992,293124
SA,24,17,2,34,18,0,0,8.0,390148
SA,24,18,2,5,0,0,0,8.0,380969
SA,24,19,2,2,0,0,0,8.0,381243
SA,24,20,3,3,1,0,0,8.0,381543
SA,24,21,2,15,6,0,0,8.0,370427
SA,24,22,3,5,6,0,0,8.0,375447
SA,24,23,2,3,6,0,0,8.0,372085
SA,24,24,1,4,1,0,0,8.0,355013
SA,24,25,3,66,16,0,0,8.0,360204
SA,24,26,3,36,16,0,0,8.0,364723
SA,24,27,2,32,15,0,0,8.0,365563
SA,24,28,3,6,0,0,0,8.0,382216
SA,24,29,2,52,9,0,0,8.0,392265
SA,24,31,1,25,14,0,0,8.0,396055
SA,24,30,2,29,17,0,0,8.0,393389
SA,24,32,2,38,24,0,0,8.0,392605
SA,24,33,2,6,1,0,0,8.0,389038
SA,24,34,1,25,34,0,0,8.0,392173
SA,24,35,1,44,18,0,0,8.0,392425
SA,24,36,1,3,1,0,0,8.0,383589
SA,24,37,2,6,0,0,0,8.0,376530
SA,24,38,2,5,0,0,0,8.0,382908
SA,24,39,2,5,1,0,0,8.0,378315
SA,24,40,2,4,0,0,0,8.0,381317
SA,24,41,2,3,2,0,0,8.0,380506
SA,24,42,2,6,2,0,0,8.0,378063
SA,24,43,2,6,3,0,0,8.0,377960
SA,24,44,2,14,5,0,0,8.0,370778
SA,24,45,2,7,4,0,0,8.0,372486
SA,24,46,2,9,4,0,0,8.0,371214
SA,24,47,2,4,1,0,0,8.0,375958
SA,24,48,2,4,1,0,0,8.0,383270
SA,24,49,2,5,0,0,0,8.0,379803
SA,24,50,1,2,6,0,0,8.0,376046
SA,24,51,3,5,1,0,0,8.0,386112
SA,24,54,0,0,0,1,0,3.604,174051
SA,24,52,2,3,0,0,0,8.0,381319
SA,24,53,3,3,0,0,0,8.0,381703
SA,24,55,1,4,1,0,0,8.0,377153
SA,24,56,2,43,20,0,0,8.0,360921
SA,24,57,3,37,11,0,0,8.0,364347
SA,24,58,2,17,5,0,0,8.0,370468
SA,24,59,2,30,10,0,0,8.0,365903
SA,24,60,2,27,12,0,0,8.0,365376
SA,24,61,1,25,22,0,0,8.0,424115
SA,24,62,2,24,20,0,0,8.0,424077
SA,24,63,2,38,26,0,0,8.0,421993
SA,24,64,1,2,1,0,0,8.0,381358
SA,24,65,1,9,0,0,0,8.0,375424
SA,24,66,2,3,2,0,0,8.0,379318
SA,24,67,1,5,1,0,0,8.0,374757
SA,24,68,2,4,0,0,0,8.0,384147
SA,24,69,2,5,1,0,0,8.0,378122
SA,24,70,2,3,0,0,0,8.0,378767
SA,24,71,3,4,4,0,0,8.0,376565
SA,24,72,1,37,19,0,0,8.0,362925
SA,24,73,2,19,24,0,0,8.0,364468
SA,24,74,3,32,11,0,0,8.0,364221
SA,24,75,2,22,19,0,0,8.0,367058
SA,24,76,2,36,23,0,0,8.0,361381
SA,24,77,2,11,17,0,0,8.0,367570
SA,24,78,2,31,8,0,0,8.0,365922
SA,24,79,1,37,7,0,0,8.0,364598
SA,24,80,1,2,1,0,0,8.0,383189
SA,24,81,2,3,0,0,0,8.0,385132
SA,24,82,2,4,1,0,0,8.0,380892
SA,24,83,2,4,3,0,0,8.0,380937
SA,24,84,3,3,2,0,0,8.0,380356
SA,24,85,3,5,0,0,0,8.0,382418
SA,24,86,2,6,1,0,0,8.0,378849
SA,24,87,1,5,0,0,0,8.0,379356
SA,24,89,2,8,1,0,0,8.0,371583
SA,24,88,3,26,12,0,0,8.0,366732
SA,24,90,2,15,7,0,0,8.0,371812
SA,24,91,2,27,21,0,0,8.0,364051
SA,24,92,2,26,7,0,0,8.0,367546
SA,24,93,2,12,3,0,0,8.0,373356
SA,24,94,3,5,0,0,0,8.0,378848
SA,24,95,2,3,5,0,0,8.0,375689
SA,24,96,2,3,0,0,0,8.0,380661
SA,24,97,3,9,4,0,0,8.0,371148
SA,24,98,3,3,1,0,0,8.0,381830
SA,24,99,2,2,3,0,0,8.0,383636
COMPASS,25,0,6,21,26,0,0,6.0,35992
COMPASS,25,1,5,9,2,0,0,6.0,35979
COMPASS,25,2,6,9,8,0,0,6.0,35827
COMPASS,25,3,7,15,11,0,0,6.0,36652
COMPASS,25,4,8,10,9,0,0,6.0,35754
COMPASS,25,5,7,17,5,0,0,6.0,35307
COMPASS,25,6,7,9,6,0,0,6.0,34662
COMPASS,25,7,8,13,14,0,0,6.0,35160
COMPASS,25,8,7,12,6,0,0,6.0,34765
COMPASS,25,9,7,19,13,0,0,6.0,35527
COMPASS,25,10,6,20,8,0,0,6.0,34677
COMPASS,25,11,6,10,11,0,0,6.0,34887
COMPASS,25,12,6,10,25,0,0,6.0,34731
COMPASS,25,13,6,8,7,0,0,6.0,34677
COMPASS,25,14,5,8,18,0,0,6.0,34995
COMPASS,25,15,6,21,12,0,0,6.0,34512
COMPASS,25,16,6,14,13,0,0,6.0,33679
COMPASS,25,18,6,11,12,0,0,6.0,33581
COMPASS,25,17,4,13,3,0,0,6.0,33832
COMPASS,25,19,6,9,3,0,0,6.0,33752
COMPASS,25,20,4,9,25,0,0,6.0,34148
COMPASS,25,21,7,11,14,0,0,6.0,33611
COMPASS,25,23,7,13,17,0,0,6.0,33146
COMPASS,25,22,5,13,17,0,0,6.0,33074
COMPASS,25,24,3,7,7,0,0,6.0,33421
COMPASS,25,25,3,7,14,0,0,6.0,34230
COMPASS,25,26,7,15,8,0,0,6.0,32859
COMPASS,25,27,7,10,4,0,0,6.001,33625
COMPASS,25,28,6,20,18,0,0,6.0,39421
COMPASS,25,29,8,8,23,0,0,6.0,39335
WalkSAT,25,0,12,20,18,0,0,6.0,29376
WalkSAT,25,1,15,19,27,0,0,6.0,28250
WalkSAT,25,3,15,24,21,0,0,6.0,28344
WalkSAT,25,2,12,25,15,0,0,6.001,28413
WalkSAT,25,4,13,18,10,0,0,6.0,28259
WalkSAT,25,5,15,20,12,0,0,6.001,27699
WalkSAT,25,6,11,22,13,0,0,6.0,29204
WalkSAT,25,7,13,13,29,0,0,6.0,28031
WalkSAT,25,8,12,17,32,0,0,6.0,27922
WalkSAT,25,9,16,15,16,0,0,6.0,28102
WalkSAT,25,10,16,20,14,0,0,6.0,27876
WalkSAT,25,11,10,16,51,0,0,6.0,28777
WalkSAT,25,12,11,20,24,0,0,6.0,28017
WalkSAT,25,13,14,27,15,0,0,6.0,28531
WalkSAT,25,14,13,17,34,0,0,6.0,27809
WalkSAT,25,15,12,12,25,0,0,6.0,27660
WalkSAT,25,16,12,18,29,0,0,6.0,27689
WalkSAT,25,17,15,13,16,0,0,6.0,27996
WalkSAT,25,18,15,21,23,0,0,6.0,28036
WalkSAT,25,19,15,22,13,0,0,6.0,27757
WalkSAT,25,20,12,19,19,0,0,6.001,27934
WalkSAT,25,21,16,30,15,0,0,6.0,27494
WalkSAT,25,22,13,14,22,0,0,6.0,27747
WalkSAT,25,23,14,15,26,0,0,6.0,27587
WalkSAT,25,24,13,27,9,0,0,6.0,27609
WalkSAT,25,25,16,18,20,0,0,6.0,27580
WalkSAT,25,26,18,31,26,0,0,6.0,27371
WalkSAT,25,27,16,34,30,0,0,6.0,27780
WalkSAT,25,28,12,13,22,0,0,6.0,34371
WalkSAT,25,29,16,12,31,0,0,6.0,34614
SA,25,0,7,10,2,0,0,6.0,258688
